# <defaultcodec>utf-8</defaultcodec>
Statistic export
Line 1: Line strain (technical) [%], Line 2: Line strain (technical) [%], Line 3: Line strain (technical) [%], Time [s], areaGB1 (Average): Epsilon X [%], areaGB1 (Maximum): Epsilon X [%], areaGB1 (Minimum): Epsilon X [%], areaGB1 (Points): Epsilon X, areaGB1 (Sigma): Epsilon X [%]
0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00900000e+03, 0.00000000e+00
2.32178541e-03, 6.19664388e-03, -1.37870852e-02, 9.97492000e-01, -1.45260149e-03, 2.82978207e-01, -2.35694587e-01, 1.00900000e+03, 5.41913450e-02
5.39882142e-04, 1.69475292e-02, 1.91460864e-03, 1.99442200e+00, -1.79493968e-03, 3.95483851e-01, -4.25861835e-01, 1.00900000e+03, 5.98361869e-02
-4.58863101e-03, 9.29637216e-03, -2.30180516e-02, 2.99059100e+00, 2.15625550e-03, 2.72792757e-01, -3.19036782e-01, 1.00900000e+03, 5.59053023e-02
-1.63564621e-03, -6.81256420e-03, -3.59198773e-02, 3.99841600e+00, -1.85405030e-03, 2.51152903e-01, -2.52626628e-01, 1.00900000e+03, 5.34240712e-02
-1.29323898e-02, -9.38742041e-03, -3.44127000e-02, 4.99457700e+00, -9.33366024e-04, 2.12938145e-01, -2.23984346e-01, 1.00900000e+03, 5.42722497e-02
-1.24239980e-02, 7.34137788e-03, -2.76916874e-02, 5.99725300e+00, 2.39292258e-03, 3.10083866e-01, -2.27719739e-01, 1.00900000e+03, 6.27444520e-02
-5.41733752e-03, -3.38576590e-03, -1.44646774e-02, 6.99549000e+00, -1.36591504e-03, 1.89618871e-01, -2.03762606e-01, 1.00900000e+03, 5.24855680e-02
-2.77347433e-03, -5.55228291e-03, -1.05458658e-02, 7.99356600e+00, 4.29129311e-04, 2.50154465e-01, -2.33308300e-01, 1.00900000e+03, 5.98864257e-02
1.76597611e-03, 7.39124516e-03, -7.13056243e-03, 8.99741200e+00, -7.42528747e-04, 3.24663579e-01, -4.08769906e-01, 1.00900000e+03, 6.25300678e-02
5.80613051e-03, -3.49813690e-03, -6.94741239e-03, 9.99935900e+00, -4.03474521e-04, 2.74476498e-01, -2.36944973e-01, 1.00900000e+03, 5.94183935e-02
3.86525154e-03, 4.05721645e-03, -2.64500822e-02, 1.09973310e+01, -8.24249347e-04, 3.65851879e-01, -3.53961527e-01, 1.00900000e+03, 6.30517704e-02
-8.63163162e-05, 8.79308515e-03, -1.63243639e-02, 1.19963320e+01, -2.24631552e-04, 2.89739847e-01, -2.63747990e-01, 1.00900000e+03, 6.24871975e-02
-1.22761301e-03, -1.34932191e-03, -1.29932739e-02, 1.29983270e+01, -5.41250450e-04, 2.65364170e-01, -3.32465202e-01, 1.00900000e+03, 6.15600226e-02
-8.14356681e-03, -3.21612604e-03, -2.83430633e-02, 1.39965610e+01, -1.92052965e-03, 3.43331575e-01, -2.85859674e-01, 1.00900000e+03, 6.58001790e-02
-2.01323247e-03, 2.17051463e-03, -1.21509507e-03, 1.49907200e+01, -1.07064313e-03, 2.64252424e-01, -2.66685456e-01, 1.00900000e+03, 6.46949659e-02
-6.66880120e-04, 9.50894521e-03, -1.28192283e-02, 1.59994030e+01, -3.17256621e-04, 2.84594566e-01, -2.95029581e-01, 1.00900000e+03, 6.67816626e-02
-2.46681077e-03, 2.43641343e-03, 1.92836648e-03, 1.69955650e+01, -2.46991489e-04, 3.77051294e-01, -2.67393798e-01, 1.00900000e+03, 6.77566632e-02
-3.25115905e-03, 3.35586830e-03, -9.70519218e-03, 1.79981090e+01, -1.39550703e-03, 3.63898665e-01, -3.20858091e-01, 1.00900000e+03, 6.71212426e-02
-1.23126451e-03, 1.42429674e-03, -1.34233236e-02, 1.89964100e+01, -7.30288064e-04, 3.39392215e-01, -3.48589599e-01, 1.00900000e+03, 7.19387169e-02
-5.03752172e-03, -9.65567025e-04, -4.10137951e-03, 1.99944800e+01, -3.34654960e-04, 3.33137691e-01, -3.10624242e-01, 1.00900000e+03, 7.36075612e-02
-4.16427695e-03, 5.00506378e-03, -1.61478134e-02, 2.09971820e+01, -1.07572507e-03, 3.94573778e-01, -3.42756599e-01, 1.00900000e+03, 7.56067189e-02
-6.35570037e-03, 2.13850261e-03, -7.83934481e-03, 2.19972530e+01, -2.51459880e-04, 2.85219461e-01, -3.24852943e-01, 1.00900000e+03, 7.58773641e-02
-5.28607462e-03, -4.55199586e-03, -5.61765354e-03, 2.29944030e+01, 9.34710597e-05, 3.39002281e-01, -3.14720511e-01, 1.00900000e+03, 7.24384975e-02
-1.18542001e-02, 6.68103313e-03, -9.53891673e-03, 2.39942420e+01, -1.20501344e-03, 3.69950950e-01, -4.24042791e-01, 1.00900000e+03, 7.93886245e-02
-2.01565755e-03, 2.45165098e-03, -1.36312490e-02, 2.49999820e+01, -4.98157931e-04, 3.48705977e-01, -3.61288071e-01, 1.00900000e+03, 7.34761807e-02
-6.48287614e-03, 9.39222943e-03, -1.96615768e-02, 2.59952390e+01, -5.27013426e-04, 5.22108078e-01, -4.60839510e-01, 1.00900000e+03, 8.27905072e-02
-6.10606709e-03, 8.04139907e-04, 6.65997351e-03, 2.69933260e+01, -1.19061197e-03, 5.96031904e-01, -5.32739341e-01, 1.00900000e+03, 8.55362924e-02
-6.72026880e-03, 1.14635968e-02, -1.31704896e-02, 2.80009320e+01, -3.03204449e-04, 5.37740111e-01, -5.23719013e-01, 1.00900000e+03, 8.56396435e-02
1.77550298e-03, 2.52402913e-03, -1.00571579e-03, 2.89971740e+01, -6.41419887e-04, 4.77006078e-01, -4.09943193e-01, 1.00900000e+03, 8.23586145e-02
2.98903951e-03, 8.01017218e-03, -7.11013363e-03, 2.99932410e+01, -7.57013545e-04, 6.77062035e-01, -6.17335498e-01, 1.00900000e+03, 8.76926937e-02
-2.89741878e-03, 2.18233948e-03, -2.86797494e-03, 3.09971710e+01, -2.06293355e-03, 4.78786230e-01, -4.73792344e-01, 1.00900000e+03, 9.53977450e-02
-6.51586997e-04, 1.59523195e-03, -2.16010332e-02, 3.19962400e+01, -3.03193772e-03, 4.41609979e-01, -4.58981037e-01, 1.00900000e+03, 8.70108234e-02
-1.31644734e-02, -6.36632886e-03, -2.49246555e-02, 3.29942450e+01, 1.25372112e-03, 5.84152043e-01, -5.53241372e-01, 1.00900000e+03, 9.09467025e-02
-2.56933273e-02, -2.82304321e-03, -2.79451396e-02, 3.39990880e+01, -3.05938344e-03, 5.36871433e-01, -4.83220458e-01, 1.00900000e+03, 9.19537454e-02
-1.19228628e-02, -8.95525840e-03, -1.20098943e-02, 3.49951690e+01, 4.68896418e-04, 4.32710916e-01, -4.87354159e-01, 1.00900000e+03, 9.04634179e-02
-9.01737812e-03, 1.26160191e-04, -1.19200002e-02, 3.59921480e+01, 2.85340693e-03, 5.52922964e-01, -4.89401221e-01, 1.00900000e+03, 9.49624802e-02
-9.37574289e-03, 1.16029144e-03, -2.42266699e-02, 3.70009940e+01, 2.43395580e-03, 5.41547298e-01, -4.92472380e-01, 1.00900000e+03, 1.00719040e-01
-1.16717202e-02, -1.84144088e-02, -3.01281154e-02, 3.79980670e+01, 1.80403711e-03, 5.34249425e-01, -5.08670807e-01, 1.00900000e+03, 9.50693032e-02
-2.33701033e-02, -2.13300897e-02, -2.27914773e-02, 3.89981530e+01, 5.78601847e-03, 5.49221158e-01, -5.26182711e-01, 1.00900000e+03, 9.63406791e-02
-1.70356587e-02, -9.16891292e-03, -8.18511139e-03, 3.99982310e+01, 4.79347520e-03, 8.63269448e-01, -7.81675518e-01, 1.00900000e+03, 1.11287574e-01
-2.35114002e-02, -2.54250480e-02, -2.83024206e-02, 4.09953420e+01, 8.80739650e-03, 5.81597447e-01, -5.26412725e-01, 1.00900000e+03, 9.78198552e-02
-2.94142797e-02, -1.37012741e-02, -2.61591082e-02, 4.19952460e+01, 8.30447766e-03, 8.16463470e-01, -7.37210631e-01, 1.00900000e+03, 1.08633625e-01
-4.26984901e-02, -3.73978091e-02, -3.97895975e-02, 4.30000380e+01, 9.54166989e-03, 6.61394119e-01, -6.21299207e-01, 1.00900000e+03, 1.04118139e-01
