General : Start date,"6/7/2019"
Strain : Time at removal,,s
Specimen properties : Specimen label,"AbaPanu#7"
Specimen properties : Thickness,"10.15000",mm
Specimen properties : Width,"10.10000",mm
Modulus (Automatic) : X-intercept at Modulus (Automatic),"0.15818",mm/mm
Modulus (Automatic) : Y-intercept at Modulus (Automatic),"-912.86871",MPa
Modulus (Automatic) : Modulus (Automatic),"5,771.14202",MPa
Poisson's ratio (Chord) : Poisson's ratio (Chord),
Poisson's ratio (Chord) : X-intercept at Poisson's ratio (Chord),,mm/mm
Poisson's ratio (Chord) : Y-intercept at Poisson's ratio (Chord),,mm/mm
Specimen properties : Final thickness,"10.15000",mm
Specimen properties : Final width,"10.10000",mm
Specimen properties : Final anvil height,"10.16000",mm
Strain : Compressive strain (Extension) gauge length,"10.16000",mm

Time,Extension,Load,Compressive stress,Compressive extension,Compressive strain (Extension)
(s),(mm),(N),(MPa),(mm),(mm/mm)
"0.00000","1.29499","51.67105","0.50403","1.29499","0.12746"
"0.10000","1.29502","51.28701","0.50029","1.29502","0.12746"
"0.20000","1.29508","51.53726","0.50273","1.29508","0.12747"
"0.30000","1.29518","51.38369","0.50123","1.29518","0.12748"
"0.40000","1.29533","51.87611","0.50603","1.29533","0.12749"
"0.50000","1.29553","52.68829","0.51396","1.29553","0.12751"
"0.60000","1.29584","53.59826","0.52283","1.29584","0.12754"
"0.70000","1.29656","54.11647","0.52789","1.29656","0.12761"
"0.80000","1.29774","54.18191","0.52853","1.29774","0.12773"
"0.90000","1.29864","54.09201","0.52765","1.29864","0.12782"
"1.00000","1.29946","53.45638","0.52145","1.29946","0.12790"
"1.10000","1.29975","53.31902","0.52011","1.29975","0.12793"
"1.20000","1.29999","53.11398","0.51811","1.29999","0.12795"
"1.30000","1.30034","53.21385","0.51908","1.30034","0.12799"
"1.40000","1.30078","54.37159","0.53038","1.30078","0.12803"
"1.50000","1.30125","53.85802","0.52537","1.30125","0.12808"
"1.60000","1.30161","53.98639","0.52662","1.30161","0.12811"
"1.70000","1.30196","54.19796","0.52868","1.30196","0.12815"
"1.80000","1.30240","53.89489","0.52573","1.30240","0.12819"
"1.90000","1.30289","54.53820","0.53200","1.30289","0.12824"
"2.00000","1.30336","54.25878","0.52928","1.30336","0.12828"
"2.10000","1.30377","54.04543","0.52720","1.30377","0.12832"
"2.20000","1.30416","54.05202","0.52726","1.30416","0.12836"
"2.30000","1.30459","53.72637","0.52408","1.30459","0.12840"
"2.40000","1.30503","54.41420","0.53079","1.30503","0.12845"
"2.50000","1.30544","54.77688","0.53433","1.30544","0.12849"
"2.60000","1.30588","54.48313","0.53146","1.30588","0.12853"
"2.70000","1.30629","54.40187","0.53067","1.30629","0.12857"
"2.80000","1.30663","54.89145","0.53545","1.30663","0.12860"
"2.90000","1.30701","53.76005","0.52441","1.30701","0.12864"
"3.00000","1.30746","54.30262","0.52970","1.30746","0.12869"
