General : Start date,"6/7/2019"
Strain : Time at removal,,s
Specimen properties : Specimen label,"AbaPanu#8"
Specimen properties : Thickness,"10.10000",mm
Specimen properties : Width,"10.08000",mm
Modulus (Automatic) : X-intercept at Modulus (Automatic),"0.13169",mm/mm
Modulus (Automatic) : Y-intercept at Modulus (Automatic),"-726.39279",MPa
Modulus (Automatic) : Modulus (Automatic),"5,515.94482",MPa
Poisson's ratio (Chord) : Poisson's ratio (Chord),
Poisson's ratio (Chord) : X-intercept at Poisson's ratio (Chord),,mm/mm
Poisson's ratio (Chord) : Y-intercept at Poisson's ratio (Chord),,mm/mm
Specimen properties : Final thickness,"10.10000",mm
Specimen properties : Final width,"10.08000",mm
Specimen properties : Final anvil height,"10.03000",mm
Strain : Compressive strain (Extension) gauge length,"10.03000",mm

Time,Extension,Load,Compressive stress,Compressive extension,Compressive strain (Extension)
(s),(mm),(N),(MPa),(mm),(mm/mm)
"0.00000","1.02600","50.12343","0.49233","1.02600","0.10229"
"0.10000","1.02603","49.69162","0.48809","1.02603","0.10230"
"0.20000","1.02610","50.63207","0.49733","1.02610","0.10230"
"0.30000","1.02620","50.77657","0.49875","1.02620","0.10231"
"0.40000","1.02635","50.38355","0.49489","1.02635","0.10233"
"0.50000","1.02655","50.43723","0.49542","1.02655","0.10235"
"0.60000","1.02682","51.29567","0.50385","1.02682","0.10237"
"0.70000","1.02725","52.48663","0.51555","1.02725","0.10242"
"0.80000","1.02838","54.06898","0.53109","1.02838","0.10253"
"0.90000","1.02947","53.79450","0.52839","1.02947","0.10264"
"1.00000","1.03024","53.83615","0.52880","1.03024","0.10272"
"1.10000","1.03067","53.75846","0.52804","1.03067","0.10276"
"1.20000","1.03098","53.25949","0.52314","1.03098","0.10279"
"1.30000","1.03136","53.58352","0.52632","1.03136","0.10283"
"1.40000","1.03181","54.19557","0.53233","1.03181","0.10287"
"1.50000","1.03227","53.54517","0.52594","1.03227","0.10292"
"1.60000","1.03271","53.36752","0.52420","1.03271","0.10296"
"1.70000","1.03315","53.42323","0.52474","1.03315","0.10301"
"1.80000","1.03355","53.46713","0.52518","1.03355","0.10305"
"1.90000","1.03394","53.78303","0.52828","1.03394","0.10309"
"2.00000","1.03436","54.13695","0.53176","1.03436","0.10313"
"2.10000","1.03474","53.49719","0.52547","1.03474","0.10316"
"2.20000","1.03509","53.62392","0.52672","1.03509","0.10320"
"2.30000","1.03548","53.45613","0.52507","1.03548","0.10324"
"2.40000","1.03594","53.62606","0.52674","1.03594","0.10328"
"2.50000","1.03640","53.22763","0.52282","1.03640","0.10333"
"2.60000","1.03686","53.41876","0.52470","1.03686","0.10338"
"2.70000","1.03728","53.57932","0.52628","1.03728","0.10342"
"2.80000","1.03769","53.54271","0.52592","1.03769","0.10346"
"2.90000","1.03811","53.61897","0.52667","1.03811","0.10350"
"3.00000","1.03856","53.53946","0.52589","1.03856","0.10354"
"3.10000","1.03896","53.88422","0.52927","1.03896","0.10359"
"3.20000","1.03937","53.49871","0.52549","1.03937","0.10363"
"3.30000","1.03976","53.23688","0.52291","1.03976","0.10366"
"3.40000","1.04010","53.07677","0.52134","1.04010","0.10370"
"3.50000","1.04052","53.08846","0.52146","1.04052","0.10374"
"3.60000","1.04096","53.00529","0.52064","1.04096","0.10379"
"3.70000","1.04142","53.27896","0.52333","1.04142","0.10383"
"3.80000","1.04186","52.66309","0.51728","1.04186","0.10387"
"3.90000","1.04227","52.64556","0.51711","1.04227","0.10392"
"4.00000","1.04268","52.53333","0.51600","1.04268","0.10396"
"4.10000","1.04309","53.38342","0.52435","1.04309","0.10400"
"4.20000","1.04351","53.38528","0.52437","1.04351","0.10404"
"4.30000","1.04397","52.62236","0.51688","1.04397","0.10408"
"4.40000","1.04440","53.38697","0.52439","1.04440","0.10413"
"4.50000","1.04472","52.85326","0.51915","1.04472","0.10416"
"4.60000","1.04507","53.08979","0.52147","1.04507","0.10419"
"4.70000","1.04549","53.77812","0.52823","1.04549","0.10424"
"4.80000","1.04598","53.04739","0.52105","1.04598","0.10428"
"4.90000","1.04644","52.64404","0.51709","1.04644","0.10433"
"5.00000","1.04687","53.50069","0.52551","1.04687","0.10437"
"5.10000","1.04728","53.03038","0.52089","1.04728","0.10441"
"5.20000","1.04771","52.93019","0.51990","1.04771","0.10446"
"5.30000","1.04817","53.09485","0.52152","1.04817","0.10450"
"5.40000","1.04859","53.12162","0.52178","1.04859","0.10455"
"5.50000","1.04899","53.21339","0.52268","1.04899","0.10459"
"5.60000","1.04943","53.12433","0.52181","1.04943","0.10463"
"5.70000","1.04977","52.90162","0.51962","1.04977","0.10466"
"5.80000","1.05012","52.98887","0.52048","1.05012","0.10470"
"5.90000","1.05052","53.82182","0.52866","1.05052","0.10474"
"6.00000","1.05097","53.16619","0.52222","1.05097","0.10478"
"6.10000","1.05142","52.85082","0.51912","1.05142","0.10483"
"6.20000","1.05185","53.45898","0.52510","1.05185","0.10487"
"6.30000","1.05228","53.84141","0.52885","1.05228","0.10491"
"6.40000","1.05271","53.71558","0.52762","1.05271","0.10496"
"6.50000","1.05311","53.31321","0.52366","1.05311","0.10500"
"6.60000","1.05355","53.73193","0.52778","1.05355","0.10504"
"6.70000","1.05402","52.60226","0.51668","1.05402","0.10509"
"6.80000","1.05444","53.17831","0.52234","1.05444","0.10513"
"6.90000","1.05473","53.22678","0.52282","1.05473","0.10516"
"7.00000","1.05506","53.18830","0.52244","1.05506","0.10519"
"7.10000","1.05547","52.86561","0.51927","1.05547","0.10523"
"7.20000","1.05593","52.91896","0.51979","1.05593","0.10528"
"7.30000","1.05641","52.86607","0.51927","1.05641","0.10532"
"7.40000","1.05685","52.60614","0.51672","1.05685","0.10537"
"7.50000","1.05728","52.94696","0.52007","1.05728","0.10541"
"7.60000","1.05770","52.72699","0.51791","1.05770","0.10545"
"7.70000","1.05816","52.36175","0.51432","1.05816","0.10550"
"7.80000","1.05861","52.56347","0.51630","1.05861","0.10554"
"7.90000","1.05902","53.02990","0.52088","1.05902","0.10558"
"8.00000","1.05939","52.91758","0.51978","1.05939","0.10562"
"8.10000","1.05969","53.43259","0.52484","1.05969","0.10565"
"8.20000","1.06004","52.47997","0.51548","1.06004","0.10569"
"8.30000","1.06047","53.70938","0.52756","1.06047","0.10573"
"8.40000","1.06091","53.01353","0.52072","1.06091","0.10577"
"8.50000","1.06138","53.88472","0.52928","1.06138","0.10582"
"8.60000","1.06184","53.80891","0.52853","1.06184","0.10587"
"8.70000","1.06228","53.32016","0.52373","1.06228","0.10591"
"8.80000","1.06271","53.34892","0.52402","1.06271","0.10595"
"8.90000","1.06312","54.06256","0.53102","1.06312","0.10599"
"9.00000","1.06354","53.72079","0.52767","1.06354","0.10604"
"9.10000","1.06397","53.52242","0.52572","1.06397","0.10608"
"9.20000","1.06434","53.42081","0.52472","1.06434","0.10612"
"9.30000","1.06465","53.57869","0.52627","1.06465","0.10615"
"9.40000","1.06501","52.98688","0.52046","1.06501","0.10618"
"9.50000","1.06545","52.58760","0.51654","1.06545","0.10623"
"9.60000","1.06593","52.73598","0.51799","1.06593","0.10627"
"9.70000","1.06642","53.78020","0.52825","1.06642","0.10632"
"9.80000","1.06687","52.80516","0.51867","1.06687","0.10637"
"9.90000","1.06728","52.93838","0.51998","1.06728","0.10641"
"10.00000","1.06772","53.42863","0.52480","1.06772","0.10645"
"10.10000","1.06816","53.03723","0.52095","1.06816","0.10650"
"10.20000","1.06858","52.23279","0.51305","1.06858","0.10654"
"10.30000","1.06897","52.13208","0.51206","1.06897","0.10658"
"10.40000","1.06936","52.24253","0.51315","1.06936","0.10662"
"10.50000","1.06969","52.42319","0.51492","1.06969","0.10665"
"10.60000","1.07006","52.85315","0.51915","1.07006","0.10669"
"10.70000","1.07048","52.39342","0.51463","1.07048","0.10673"
"10.80000","1.07096","52.66008","0.51725","1.07096","0.10678"
"10.90000","1.07143","52.80462","0.51867","1.07143","0.10682"
"11.00000","1.07188","52.56514","0.51632","1.07188","0.10687"
"11.10000","1.07234","52.70394","0.51768","1.07234","0.10691"
"11.20000","1.07275","53.00600","0.52065","1.07275","0.10695"
"11.30000","1.07316","52.74903","0.51812","1.07316","0.10700"
"11.40000","1.07355","52.58973","0.51656","1.07355","0.10703"
"11.50000","1.07397","52.50285","0.51570","1.07397","0.10708"
"11.60000","1.07436","53.09113","0.52148","1.07436","0.10711"
"11.70000","1.07469","52.69527","0.51759","1.07469","0.10715"
"11.80000","1.07506","53.23823","0.52293","1.07506","0.10718"
"11.90000","1.07551","53.12441","0.52181","1.07551","0.10723"
"12.00000","1.07600","52.42434","0.51493","1.07600","0.10728"
"12.10000","1.07648","52.49797","0.51566","1.07648","0.10733"
"12.20000","1.07694","53.14308","0.52199","1.07694","0.10737"
"12.30000","1.07735","52.74971","0.51813","1.07735","0.10741"
"12.40000","1.07772","53.40006","0.52452","1.07772","0.10745"
"12.50000","1.07812","52.76669","0.51830","1.07812","0.10749"
"12.60000","1.07853","52.81665","0.51879","1.07853","0.10753"
"12.70000","1.07895","53.32985","0.52383","1.07895","0.10757"
"12.80000","1.07936","53.40468","0.52456","1.07936","0.10761"
"12.90000","1.07971","53.35530","0.52408","1.07971","0.10765"
"13.00000","1.08010","53.90621","0.52949","1.08010","0.10769"
"13.10000","1.08054","53.38951","0.52441","1.08054","0.10773"
"13.20000","1.08099","52.90276","0.51963","1.08099","0.10778"
"13.30000","1.08142","52.67011","0.51735","1.08142","0.10782"
"13.40000","1.08184","52.49257","0.51560","1.08184","0.10786"
"13.50000","1.08229","51.84282","0.50922","1.08229","0.10791"
"13.60000","1.08272","52.41837","0.51487","1.08272","0.10795"
"13.70000","1.08312","51.79131","0.50872","1.08312","0.10799"
"13.80000","1.08352","52.19880","0.51272","1.08352","0.10803"
"13.90000","1.08395","52.98553","0.52045","1.08395","0.10807"
"14.00000","1.08438","51.85400","0.50933","1.08438","0.10811"
"14.10000","1.08473","52.32272","0.51394","1.08473","0.10815"
"14.20000","1.08511","52.70152","0.51766","1.08511","0.10819"
"14.30000","1.08551","51.99468","0.51071","1.08551","0.10823"
"14.40000","1.08596","52.87525","0.51936","1.08596","0.10827"
"14.50000","1.08642","52.08895","0.51164","1.08642","0.10832"
"14.60000","1.08685","52.26083","0.51333","1.08685","0.10836"
"14.70000","1.08726","53.40545","0.52457","1.08726","0.10840"
"14.80000","1.08767","52.89511","0.51956","1.08767","0.10844"
"14.90000","1.08811","52.35130","0.51422","1.08811","0.10849"
"15.00000","1.08854","52.48763","0.51556","1.08854","0.10853"
"15.10000","1.08897","52.62293","0.51688","1.08897","0.10857"
"15.20000","1.08938","52.84765","0.51909","1.08938","0.10861"
"15.30000","1.08974","52.89878","0.51959","1.08974","0.10865"
"15.40000","1.09010","52.74763","0.51811","1.09010","0.10868"
"15.50000","1.09053","53.39858","0.52450","1.09053","0.10873"
"15.60000","1.09098","53.26818","0.52322","1.09098","0.10877"
"15.70000","1.09141","52.87238","0.51933","1.09141","0.10881"
"15.80000","1.09183","53.31821","0.52371","1.09183","0.10886"
"15.90000","1.09226","52.69553","0.51760","1.09226","0.10890"
"16.00000","1.09271","52.67692","0.51741","1.09271","0.10894"
"16.10000","1.09314","52.53769","0.51605","1.09314","0.10899"
"16.20000","1.09358","52.99233","0.52051","1.09358","0.10903"
"16.30000","1.09403","52.57119","0.51638","1.09403","0.10908"
"16.40000","1.09442","52.99178","0.52051","1.09442","0.10911"
"16.50000","1.09476","52.79120","0.51854","1.09476","0.10915"
"16.60000","1.09511","53.09189","0.52149","1.09511","0.10918"
"16.70000","1.09551","52.90928","0.51970","1.09551","0.10922"
"16.80000","1.09597","53.11631","0.52173","1.09597","0.10927"
"16.90000","1.09643","52.58529","0.51651","1.09643","0.10931"
"17.00000","1.09686","52.67599","0.51741","1.09686","0.10936"
"17.10000","1.09729","52.98566","0.52045","1.09729","0.10940"
"17.20000","1.09772","52.08092","0.51156","1.09772","0.10944"
"17.30000","1.09817","53.55002","0.52599","1.09817","0.10949"
"17.40000","1.09858","53.74309","0.52789","1.09858","0.10953"
"17.50000","1.09900","53.38181","0.52434","1.09900","0.10957"
"17.60000","1.09942","53.39532","0.52447","1.09942","0.10961"
"17.70000","1.09976","53.35311","0.52406","1.09976","0.10965"
"17.80000","1.10013","54.37323","0.53408","1.10013","0.10968"
"17.90000","1.10055","53.62348","0.52671","1.10055","0.10973"
"18.00000","1.10099","53.26419","0.52318","1.10099","0.10977"
"18.10000","1.10149","53.05188","0.52110","1.10149","0.10982"
"18.20000","1.10192","53.34714","0.52400","1.10192","0.10986"
"18.30000","1.10232","53.32741","0.52380","1.10232","0.10990"
"18.40000","1.10274","53.64211","0.52689","1.10274","0.10994"
"18.50000","1.10316","54.13187","0.53171","1.10316","0.10999"
"18.60000","1.10359","53.79398","0.52839","1.10359","0.11003"
"18.70000","1.10400","53.80756","0.52852","1.10400","0.11007"
"18.80000","1.10438","53.49750","0.52547","1.10438","0.11011"
"18.90000","1.10470","54.07281","0.53113","1.10470","0.11014"
"19.00000","1.10506","53.96605","0.53008","1.10506","0.11018"
"19.10000","1.10548","53.39711","0.52449","1.10548","0.11022"
"19.20000","1.10596","53.97729","0.53019","1.10596","0.11027"
"19.30000","1.10640","53.49070","0.52541","1.10640","0.11031"
"19.40000","1.10683","53.74855","0.52794","1.10683","0.11035"
"19.50000","1.10727","53.78263","0.52828","1.10727","0.11040"
"19.60000","1.10771","53.21797","0.52273","1.10771","0.11044"
"19.70000","1.10813","53.66941","0.52716","1.10813","0.11048"
"19.80000","1.10854","53.31562","0.52369","1.10854","0.11052"
"19.90000","1.10895","53.35503","0.52407","1.10895","0.11056"
"20.00000","1.10939","53.28843","0.52342","1.10939","0.11061"
"20.10000","1.10975","53.70093","0.52747","1.10975","0.11064"
"20.20000","1.11009","53.59916","0.52647","1.11009","0.11068"
"20.30000","1.11051","53.73021","0.52776","1.11051","0.11072"
"20.40000","1.11097","54.29664","0.53332","1.11097","0.11076"
"20.50000","1.11140","54.52019","0.53552","1.11140","0.11081"
"20.60000","1.11184","54.77320","0.53800","1.11184","0.11085"
"20.70000","1.11229","53.84433","0.52888","1.11229","0.11090"
"20.80000","1.11269","54.09363","0.53133","1.11269","0.11094"
"20.90000","1.11309","54.08028","0.53120","1.11309","0.11098"
"21.00000","1.11350","54.08269","0.53122","1.11350","0.11102"
"21.10000","1.11392","53.66205","0.52709","1.11392","0.11106"
"21.20000","1.11434","53.88421","0.52927","1.11434","0.11110"
"21.30000","1.11468","54.46519","0.53498","1.11468","0.11114"
"21.40000","1.11506","54.16586","0.53204","1.11506","0.11117"
"21.50000","1.11549","55.28838","0.54307","1.11549","0.11122"
"21.60000","1.11595","54.79548","0.53822","1.11595","0.11126"
"21.70000","1.11644","55.29165","0.54310","1.11644","0.11131"
"21.80000","1.11686","54.71594","0.53744","1.11686","0.11135"
"21.90000","1.11727","54.35751","0.53392","1.11727","0.11139"
"22.00000","1.11768","54.67574","0.53705","1.11768","0.11143"
"22.10000","1.11810","54.32462","0.53360","1.11810","0.11148"
"22.20000","1.11853","55.18734","0.54207","1.11853","0.11152"
"22.30000","1.11898","54.66895","0.53698","1.11898","0.11156"
"22.40000","1.11941","54.58923","0.53620","1.11941","0.11161"
"22.50000","1.11978","54.80203","0.53829","1.11978","0.11164"
"22.60000","1.12012","55.12116","0.54142","1.12012","0.11168"
"22.70000","1.12053","55.05045","0.54073","1.12053","0.11172"
"22.80000","1.12099","54.37497","0.53409","1.12099","0.11176"
"22.90000","1.12144","54.57309","0.53604","1.12144","0.11181"
"23.00000","1.12187","54.52555","0.53557","1.12187","0.11185"
"23.10000","1.12227","54.82598","0.53852","1.12227","0.11189"
"23.20000","1.12267","54.72292","0.53751","1.12267","0.11193"
"23.30000","1.12308","54.31099","0.53346","1.12308","0.11197"
"23.40000","1.12353","54.56974","0.53601","1.12353","0.11202"
"23.50000","1.12397","54.59767","0.53628","1.12397","0.11206"
"23.60000","1.12441","54.96605","0.53990","1.12441","0.11210"
"23.70000","1.12474","54.90839","0.53933","1.12474","0.11214"
"23.80000","1.12509","54.51300","0.53545","1.12509","0.11217"
"23.90000","1.12552","55.26796","0.54286","1.12552","0.11221"
"24.00000","1.12598","55.43238","0.54448","1.12598","0.11226"
"24.10000","1.12644","55.52108","0.54535","1.12644","0.11231"
"24.20000","1.12687","55.19928","0.54219","1.12687","0.11235"
"24.30000","1.12729","55.30994","0.54328","1.12729","0.11239"
"24.40000","1.12770","54.83991","0.53866","1.12770","0.11243"
"24.50000","1.12812","55.48383","0.54498","1.12812","0.11247"
"24.60000","1.12856","55.31302","0.54331","1.12856","0.11252"
"24.70000","1.12903","55.70689","0.54718","1.12903","0.11257"
"24.80000","1.12942","56.10258","0.55106","1.12942","0.11260"
"24.90000","1.12975","55.47538","0.54490","1.12975","0.11264"
"25.00000","1.13010","54.82787","0.53854","1.13010","0.11267"
"25.10000","1.13050","55.47695","0.54492","1.13050","0.11271"
"25.20000","1.13096","55.69941","0.54710","1.13096","0.11276"
"25.30000","1.13138","55.68996","0.54701","1.13138","0.11280"
"25.40000","1.13180","55.58200","0.54595","1.13180","0.11284"
"25.50000","1.13224","55.51977","0.54534","1.13224","0.11288"
"25.60000","1.13266","56.10495","0.55109","1.13266","0.11293"
"25.70000","1.13311","55.52431","0.54538","1.13311","0.11297"
"25.80000","1.13357","55.77777","0.54787","1.13357","0.11302"
"25.90000","1.13400","55.23899","0.54258","1.13400","0.11306"
"26.00000","1.13439","55.73322","0.54743","1.13439","0.11310"
"26.10000","1.13472","55.38891","0.54405","1.13472","0.11313"
"26.20000","1.13505","55.16462","0.54185","1.13505","0.11317"
"26.30000","1.13545","55.42944","0.54445","1.13545","0.11321"
"26.40000","1.13591","55.43146","0.54447","1.13591","0.11325"
"26.50000","1.13639","55.53066","0.54544","1.13639","0.11330"
"26.60000","1.13683","55.60538","0.54618","1.13683","0.11334"
"26.70000","1.13727","56.00888","0.55014","1.13727","0.11339"
"26.80000","1.13771","56.50085","0.55497","1.13771","0.11343"
"26.90000","1.13813","56.32160","0.55321","1.13813","0.11347"
"27.00000","1.13858","56.28202","0.55283","1.13858","0.11352"
"27.10000","1.13902","56.21079","0.55213","1.13902","0.11356"
"27.20000","1.13941","56.85587","0.55846","1.13941","0.11360"
"27.30000","1.13974","56.10161","0.55105","1.13974","0.11363"
"27.40000","1.14007","56.61166","0.55606","1.14007","0.11367"
"27.50000","1.14045","56.78382","0.55775","1.14045","0.11370"
"27.60000","1.14091","56.51242","0.55509","1.14091","0.11375"
"27.70000","1.14140","56.83745","0.55828","1.14140","0.11380"
"27.80000","1.14189","57.29881","0.56281","1.14189","0.11385"
"27.90000","1.14233","57.57977","0.56557","1.14233","0.11389"
"28.00000","1.14272","57.53003","0.56508","1.14272","0.11393"
"28.10000","1.14311","57.89184","0.56864","1.14311","0.11397"
"28.20000","1.14355","57.71713","0.56692","1.14355","0.11401"
"28.30000","1.14402","58.51486","0.57476","1.14402","0.11406"
"28.40000","1.14443","58.34821","0.57312","1.14443","0.11410"
"28.50000","1.14474","57.89311","0.56865","1.14474","0.11413"
"28.60000","1.14508","58.61027","0.57569","1.14508","0.11417"
"28.70000","1.14548","59.10054","0.58051","1.14548","0.11421"
"28.80000","1.14594","58.64444","0.57603","1.14594","0.11425"
"28.90000","1.14642","59.01786","0.57970","1.14642","0.11430"
"29.00000","1.14690","58.31110","0.57276","1.14690","0.11435"
"29.10000","1.14734","59.17164","0.58121","1.14734","0.11439"
"29.20000","1.14775","59.67476","0.58615","1.14775","0.11443"
"29.30000","1.14814","59.43890","0.58383","1.14814","0.11447"
"29.40000","1.14856","58.92038","0.57874","1.14856","0.11451"
"29.50000","1.14898","59.63787","0.58579","1.14898","0.11455"
"29.60000","1.14940","59.73136","0.58671","1.14940","0.11460"
"29.70000","1.14974","59.26846","0.58216","1.14974","0.11463"
"29.80000","1.15010","60.01966","0.58954","1.15010","0.11467"
"29.90000","1.15051","60.52554","0.59451","1.15051","0.11471"
"30.00000","1.15097","61.36654","0.60277","1.15097","0.11475"
"30.10000","1.15144","62.03406","0.60932","1.15144","0.11480"
"30.20000","1.15188","62.18207","0.61078","1.15188","0.11484"
"30.30000","1.15232","62.93575","0.61818","1.15232","0.11489"
"30.40000","1.15273","62.79252","0.61677","1.15273","0.11493"
"30.50000","1.15313","63.92515","0.62790","1.15313","0.11497"
"30.60000","1.15357","65.28301","0.64124","1.15357","0.11501"
"30.70000","1.15398","66.64735","0.65464","1.15398","0.11505"
"30.80000","1.15437","68.29891","0.67086","1.15437","0.11509"
"30.90000","1.15472","68.46626","0.67250","1.15472","0.11513"
"31.00000","1.15509","70.07000","0.68826","1.15509","0.11516"
"31.10000","1.15551","71.24470","0.69979","1.15551","0.11521"
"31.20000","1.15597","72.71900","0.71428","1.15597","0.11525"
"31.30000","1.15645","74.96017","0.73629","1.15645","0.11530"
"31.40000","1.15687","76.72163","0.75359","1.15687","0.11534"
"31.50000","1.15729","77.79779","0.76416","1.15729","0.11538"
"31.60000","1.15768","79.44244","0.78032","1.15768","0.11542"
"31.70000","1.15809","80.63404","0.79202","1.15809","0.11546"
"31.80000","1.15850","82.49655","0.81032","1.15850","0.11550"
"31.90000","1.15895","85.47975","0.83962","1.15895","0.11555"
"32.00000","1.15936","87.11617","0.85569","1.15936","0.11559"
"32.10000","1.15969","87.92553","0.86364","1.15969","0.11562"
"32.20000","1.16006","89.42427","0.87836","1.16006","0.11566"
"32.30000","1.16048","92.19373","0.90556","1.16048","0.11570"
"32.40000","1.16093","93.91491","0.92247","1.16093","0.11575"
"32.50000","1.16142","96.77026","0.95052","1.16142","0.11580"
"32.60000","1.16184","99.08429","0.97325","1.16184","0.11584"
"32.70000","1.16226","101.06281","0.99268","1.16226","0.11588"
"32.80000","1.16266","103.46280","1.01625","1.16266","0.11592"
"32.90000","1.16308","105.83447","1.03955","1.16308","0.11596"
"33.00000","1.16354","109.22308","1.07283","1.16354","0.11601"
"33.10000","1.16397","111.70306","1.09719","1.16397","0.11605"
"33.20000","1.16436","114.66351","1.12627","1.16436","0.11609"
"33.30000","1.16470","116.39297","1.14326","1.16470","0.11612"
"33.40000","1.16506","118.27316","1.16173","1.16506","0.11616"
"33.50000","1.16549","122.37273","1.20200","1.16549","0.11620"
"33.60000","1.16596","125.59772","1.23367","1.16596","0.11625"
"33.70000","1.16642","128.95602","1.26666","1.16642","0.11629"
"33.80000","1.16685","132.01274","1.29668","1.16685","0.11634"
"33.90000","1.16724","135.60081","1.33193","1.16724","0.11638"
"34.00000","1.16766","138.15219","1.35699","1.16766","0.11642"
"34.10000","1.16811","142.23271","1.39707","1.16811","0.11646"
"34.20000","1.16854","145.45767","1.42875","1.16854","0.11650"
"34.30000","1.16901","149.25949","1.46609","1.16901","0.11655"
"34.40000","1.16940","153.04985","1.50332","1.16940","0.11659"
"34.50000","1.16973","154.78265","1.52034","1.16973","0.11662"
"34.60000","1.17009","158.32988","1.55518","1.17009","0.11666"
"34.70000","1.17050","161.05370","1.58194","1.17050","0.11670"
"34.80000","1.17096","165.90875","1.62962","1.17096","0.11675"
"34.90000","1.17142","169.13391","1.66130","1.17142","0.11679"
"35.00000","1.17184","173.15221","1.70077","1.17184","0.11683"
"35.10000","1.17227","177.26172","1.74114","1.17227","0.11688"
"35.20000","1.17268","181.28809","1.78069","1.17268","0.11692"
"35.30000","1.17315","185.86420","1.82563","1.17315","0.11696"
"35.40000","1.17360","190.32103","1.86941","1.17360","0.11701"
"35.50000","1.17402","193.63748","1.90199","1.17402","0.11705"
"35.60000","1.17437","198.28502","1.94764","1.17437","0.11709"
"35.70000","1.17469","200.87404","1.97307","1.17469","0.11712"
"35.80000","1.17503","203.37215","1.99760","1.17503","0.11715"
"35.90000","1.17546","207.44136","2.03757","1.17546","0.11719"
"36.00000","1.17593","212.42369","2.08651","1.17593","0.11724"
"36.10000","1.17641","217.83763","2.13969","1.17641","0.11729"
"36.20000","1.17684","222.35503","2.18406","1.17684","0.11733"
"36.30000","1.17726","226.71153","2.22685","1.17726","0.11737"
"36.40000","1.17769","232.04987","2.27929","1.17769","0.11742"
"36.50000","1.17812","236.90273","2.32696","1.17812","0.11746"
"36.60000","1.17856","241.21513","2.36931","1.17856","0.11750"
"36.70000","1.17901","246.25143","2.41878","1.17901","0.11755"
"36.80000","1.17936","250.46605","2.46018","1.17936","0.11758"
"36.90000","1.17968","253.96124","2.49451","1.17968","0.11762"
"37.00000","1.18006","258.29672","2.53710","1.18006","0.11765"
"37.10000","1.18050","263.58530","2.58904","1.18050","0.11770"
"37.20000","1.18098","268.57938","2.63810","1.18098","0.11774"
"37.30000","1.18146","275.10037","2.70215","1.18146","0.11779"
"37.40000","1.18191","280.88773","2.75899","1.18191","0.11784"
"37.50000","1.18232","285.31726","2.80250","1.18232","0.11788"
"37.60000","1.18272","290.16901","2.85016","1.18272","0.11792"
"37.70000","1.18315","295.79648","2.90543","1.18315","0.11796"
"37.80000","1.18358","300.74335","2.95402","1.18358","0.11800"
"37.90000","1.18398","305.08096","2.99663","1.18398","0.11804"
"38.00000","1.18429","309.46240","3.03967","1.18429","0.11808"
"38.10000","1.18461","312.67233","3.07120","1.18461","0.11811"
"38.20000","1.18499","317.61771","3.11977","1.18499","0.11814"
"38.30000","1.18547","323.02213","3.17286","1.18547","0.11819"
"38.40000","1.18599","330.32870","3.24462","1.18599","0.11824"
"38.50000","1.18644","336.51730","3.30541","1.18644","0.11829"
"38.60000","1.18686","341.74704","3.35678","1.18686","0.11833"
"38.70000","1.18730","347.48572","3.41315","1.18730","0.11837"
"38.80000","1.18773","353.92615","3.47641","1.18773","0.11842"
