# <defaultcodec>utf-8</defaultcodec>
Statistic export
Line 1: Line strain (technical) [%], Line 2: Line strain (technical) [%], Line 3: Line strain (technical) [%], Time [s], areaGB1 (Average): Epsilon X [%], areaGB1 (Maximum): Epsilon X [%], areaGB1 (Minimum): Epsilon X [%], areaGB1 (Points): Epsilon X, areaGB1 (Sigma): Epsilon X [%]
0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.39000000e+02, 0.00000000e+00
6.67228193e-03, 1.12699065e-03, 4.88419562e-03, 9.90062000e-01, 1.69847093e-03, 3.93245876e-01, -6.16523921e-01, 7.39000000e+02, 5.27901407e-02
-1.29675361e-02, -6.25010246e-03, 3.15637060e-03, 1.98828800e+00, 4.95525076e-04, 2.18726099e-01, -6.91909730e-01, 7.39000000e+02, 5.44747728e-02
-1.15188259e-02, 9.30339269e-03, -5.42362156e-03, 2.98913400e+00, 7.37198983e-04, 2.25476041e-01, -2.67480135e-01, 7.39000000e+02, 4.25279045e-02
-1.90058742e-02, 1.96038357e-03, 5.30067598e-03, 3.99214000e+00, 2.00244673e-03, 4.13748264e-01, -2.92291135e-01, 7.39000000e+02, 5.28373740e-02
-3.41024765e-03, 1.04416207e-03, -1.63510685e-03, 4.98630100e+00, 4.08732325e-04, 2.51929522e-01, -7.94486165e-01, 7.39000000e+02, 5.73617694e-02
-2.19070828e-02, 5.69381080e-03, 2.47773223e-03, 5.99196100e+00, 2.27253234e-03, 4.78867620e-01, -3.07447433e-01, 7.39000000e+02, 5.21388503e-02
-1.34643455e-02, -8.52791439e-03, -9.83160696e-03, 6.98906600e+00, 1.85725452e-04, 2.43191332e-01, -3.15928906e-01, 7.38000000e+02, 4.86722969e-02
9.19705981e-03, 1.52514163e-04, 4.38744965e-03, 7.99023200e+00, -1.12173261e-02, 1.58698902e-01, -6.29828274e-01, 7.38000000e+02, 5.10469327e-02
-1.71343632e-02, -1.05232279e-02, -8.45856319e-03, 8.99297700e+00, 1.15619077e-03, 1.93524927e-01, -5.10302246e-01, 7.38000000e+02, 5.03113542e-02
-1.16124030e-02, -8.10699744e-03, -6.87776111e-03, 9.99111900e+00, 9.02249239e-04, 2.09617943e-01, -6.81284845e-01, 7.39000000e+02, 5.60008060e-02
-1.01608063e-02, 9.44739844e-04, 9.71084140e-03, 1.09901380e+01, 1.24997155e-03, 2.96139389e-01, -4.40709859e-01, 7.39000000e+02, 5.24356138e-02
-6.88916668e-03, 2.90714283e-03, 7.84213075e-04, 1.19920470e+01, 6.26136510e-03, 7.87580550e-01, -2.37332538e-01, 7.39000000e+02, 5.79667891e-02
-1.79513570e-02, -1.08741174e-02, 3.44152973e-04, 1.29872800e+01, -7.84311578e-04, 1.63696513e-01, -2.64565945e-01, 7.39000000e+02, 5.18322705e-02
-2.52422939e-02, -1.38510280e-02, -2.48466696e-04, 1.39901260e+01, 8.35756972e-04, 1.75649822e-01, -7.08241403e-01, 7.39000000e+02, 5.58857455e-02
1.99284534e-02, 7.41955828e-03, 5.38197165e-03, 1.49910500e+01, 1.97016568e-03, 3.03675741e-01, -6.23854816e-01, 7.39000000e+02, 5.68931772e-02
1.49583092e-02, -1.67276630e-03, -9.48705632e-03, 1.59901220e+01, 4.42029908e-03, 2.11446896e-01, -1.88051566e-01, 7.39000000e+02, 5.25437263e-02
5.86911592e-03, -5.40552188e-03, -5.80605314e-03, 1.69959940e+01, -1.84843994e-03, 2.29168311e-01, -7.18405008e-01, 7.39000000e+02, 6.35755806e-02
-5.70158856e-03, 8.80082528e-03, 2.37575827e-03, 1.79912020e+01, 1.97620744e-03, 3.04940432e-01, -6.14427865e-01, 7.39000000e+02, 6.11669936e-02
3.02048753e-04, 1.07560887e-02, -1.52309030e-03, 1.89902980e+01, 2.14865473e-03, 1.68098614e-01, -4.68974411e-01, 7.39000000e+02, 5.44856359e-02
